	source	source_genesymbol
972	Q96JP5	ZFP91
973	Q96KG7	MEGF10
974	Q96LR4	TAFA4
975	Q96NI6	LRFN5
976	Q96P44	COL21A1
977	Q96PD4	IL17F
978	Q96PL1	SCGB3A2
979	Q96QR1	SCGB3A1
980	Q96QV1	HHIP
981	Q96RP3	UCN2
982	Q96S42	NODAL
983	Q96SZ5	ADO
984	Q96T91	GPHA2
985	Q99062	CSF3R
986	Q99217	AMELX
987	Q99218	AMELY
988	Q99435	NELL2
989	Q99616	CCL13
990	Q99715	COL12A1
991	Q99731	CCL19
992	Q99748	NRTN
993	Q99944	EGFL8
994	Q99969	RARRES2
995	Q99972	MYOC
996	Q99985	SEMA3C
997	Q99988	GDF15
998	Q9BQB4	SOST
999	Q9BT56	SPX
1000	Q9BUD6	SPON2
1001	Q9BUR5	APOO
1002	Q9BXJ0	C1QTNF5
1003	Q9BXJ1	C1QTNF1
1004	Q9BXJ3	C1QTNF4
1005	Q9BXY4	RSPO3
1006	Q9BY76	ANGPTL4
1007	Q9BYF1	ACE2
1008	Q9BZV3	IMPG2
1009	Q9GZP0	PDGFD
1010	Q9GZT5	WNT10A
1011	Q9GZV9	FGF23
1012	Q9GZX6	IL22
1013	Q9GZZ8	LACRT
1014	Q9H1J5	WNT8A
1015	Q9H1J7	WNT5B
1016	Q9H293	IL25
1017	Q9H2X0	CHRD
1018	Q9H8J5	MANSC1
1019	Q9H8L6	MMRN2
1020	Q9HB63	NTN4
1021	Q9HBE4	IL21
1022	Q9HC23	PROK2
1023	Q9HC73	CRLF2
1024	Q9HCB6	SPON1
1025	Q9HCQ7	NPVF
1026	Q9HCT0	FGF22
1027	Q9HD89	RETN
1028	Q9NP70	AMBN
1029	Q9NP95	FGF20
1030	Q9NPF0	CD320
1031	Q9NPF7	IL23A
1032	Q9NPH3	IL1RAP
1033	Q9NPH9	IL26
1034	Q9NQ30	ESM1
1035	Q9NQ36	SCUBE2
1036	Q9NQ76	MEPE
1037	Q9NR23	GDF3
1038	Q9NR99	MXRA5
1039	Q9NRI6	PYY2
1040	Q9NRJ3	CCL28
1041	Q9NRM1	ENAM
1042	Q9NRR1	CYTL1
1043	Q9NS15	LTBP3
1044	Q9NS98	SEMA3G
1045	Q9NSA1	FGF21
1046	Q9NY56	OBP2A
1047	Q9NYY1	IL20
1048	Q9NZH6	IL37
